episode,episodic_reward,avg_reward,episodic_delay,avg_delay
1,1123.5396941469255,1123.5396941469255,3416.507309820282,3416.507309820282
2,830.4421982436049,976.9909461952652,7742.4975784811395,5579.50244415071
3,239.50529525844706,731.1623958829924,44425.209194958836,18528.071361086753
4,-78.52185178841908,528.7413339651396,49173.11195690223,26189.33151004062
5,714.6803046367082,565.9291280994532,8125.492387458211,22576.56368552414
6,1412.677973864137,707.0539357269005,3080.4421565019347,19327.21009735377
7,1380.9201021401711,803.3205309287963,3088.6348657674994,17007.41363569859
8,792.4476818662904,801.9614247959831,6533.647874504444,15698.192915549322
9,1183.5945057543045,844.3651004580188,6162.644073454746,14638.687488649923
10,2191.1162648394384,979.0402168961607,2506.6971662555675,13425.488456410487
